"1","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Overvote"
"2","","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","",""
"3","","","Murkowski","Overvote","Tshibaka","","Kelley","Overvote","Tshibaka","","","Kelley","Murkowski","Overvote","","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Murkowski","Overvote","","","Kelley","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Kelley","Overvote","","","Kelley","Murkowski","Overvote","","Chesbro","Murkowski","Overvote","","Chesbro","Kelley","Overvote","","",""
"04-135 North Douglas","21","2","1","0","6","44","9","0","1","0","1","1","0","0","3","0","0","0","0","0","0","0","1","0","0","1","1","0","88","121","42","0","7","2","12","0","4","0","9","2","3","0","38","1","3","0","0","20","11","15","0","5","0","5","0","0","10","0"
"05-800 Chiniak","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","13","6","3","0","0","0","0","0","0","0","0","0","1","0","7","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0"
"05-810 Flats","18","0","2","0","0","20","6","0","1","0","0","1","0","0","5","1","0","0","1","0","1","0","2","0","1","2","5","0","61","52","26","0","3","3","5","0","13","0","7","2","8","0","70","2","4","1","0","30","11","23","0","13","2","14","0","1","11","0"
"05-815 Kodiak Island South","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","1","0","0","0","2","0","0","1","0","0","0","1","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"05-820 Kodiak No. 1","9","2","3","0","2","15","9","0","4","0","0","2","0","0","4","1","2","0","0","3","2","0","3","0","3","2","7","0","102","52","29","0","6","4","7","0","7","0","8","6","25","0","66","2","3","2","0","37","7","23","0","12","2","20","0","0","16","1"
"05-825 Kodiak No. 2","12","0","2","0","1","15","5","0","1","0","0","1","2","0","11","2","2","0","2","2","0","0","1","0","1","3","3","0","122","48","22","0","3","5","12","0","10","1","14","1","15","0","78","0","4","0","0","25","11","21","0","6","4","11","0","0","16","0"
"05-830 Mission Road","14","0","4","0","2","32","14","0","6","0","2","2","0","0","14","3","1","0","2","4","2","0","6","0","6","5","13","0","207","109","73","0","5","9","25","0","19","0","27","4","39","0","206","2","3","1","0","107","32","74","0","29","2","35","0","0","20","1"
"05-835 Old Harbor","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","10","0","8","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"05-840 Ouzinkie","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","7","4","0","0","1","0","0","0","0","0","0","2","0","2","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0"
"05-845 Port Lions","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2","5","0","0","0","0","0","0","0","0","0","2","0","20","0","1","0","0","3","0","2","0","1","2","1","0","0","2","0"
"05-860 Cordova","9","1","1","0","0","23","7","0","1","0","2","1","1","0","7","1","0","0","0","1","1","0","1","0","1","0","4","0","93","95","53","0","4","8","13","0","9","0","13","3","16","0","53","3","5","0","0","17","6","28","0","19","4","9","0","0","1","1"
"05-865 Seward-Lowell Point","15","0","3","0","0","39","19","0","5","0","1","0","0","0","4","0","1","0","3","3","1","0","3","0","4","1","7","0","84","66","49","0","3","7","10","0","5","0","7","1","14","0","90","2","2","0","0","39","12","16","0","12","1","16","0","0","13","1"
"05-870 Tatitlek","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06-200 Anchor Point","17","4","4","0","0","12","9","0","2","0","0","1","1","0","13","2","1","0","2","0","2","0","5","1","5","3","7","0","68","47","36","0","2","3","3","0","13","0","8","3","6","0","262","2","9","1","0","197","44","54","0","20","2","16","0","3","6","1"
"06-210 Diamond Ridge","15","4","0","0","0","28","9","0","2","0","1","1","0","0","5","0","0","0","0","0","0","0","0","0","6","1","3","0","70","72","40","0","1","4","4","0","2","0","4","1","5","0","84","1","1","1","0","78","2","19","0","8","3","10","0","0","1","0"
"06-220 Fox River","11","1","0","0","0","12","3","0","0","0","0","0","1","0","3","1","0","0","0","0","0","0","1","0","1","1","0","0","33","19","11","0","1","1","4","0","5","0","4","2","5","0","77","2","1","1","0","59","4","9","0","5","0","7","0","0","1","0"
"06-230 Homer No. 1","14","0","0","0","0","37","9","0","6","0","0","1","0","0","9","0","0","0","0","2","1","0","0","0","6","1","2","0","121","99","47","0","5","8","12","0","10","0","5","2","6","0","161","0","5","0","0","99","12","19","0","11","1","16","0","0","9","0"
"06-240 Homer No. 2","10","1","0","0","0","23","9","0","2","0","2","0","1","0","5","0","1","0","0","2","0","0","1","0","5","3","2","0","96","94","27","0","9","1","11","0","12","2","7","3","9","0","112","1","1","2","0","123","17","32","0","17","1","9","0","0","5","0"
"06-250 Kachemak-Fritz Creek","11","1","2","0","0","42","5","0","1","0","2","1","2","0","9","0","0","0","0","1","2","0","5","0","8","3","1","0","125","144","55","0","6","4","12","0","11","0","11","6","4","0","157","0","3","1","0","90","8","26","0","14","0","9","0","0","8","0"
