"1","Stein/Ware","West/Abdullah","Blank","Exhausted","Overvote"
"District 38  - Question","51","44","2","165","8"
"District 4 - Absentee","263","116","8","1278","3"
"District 4 - Early Voting","597","274","15","2960","10"
"District 4  - Question","85","41","5","292","4"
"District 40 - Absentee","64","50","4","329","2"
"District 40 - Early Voting","4","5","1","35","1"
"District 40  - Question","49","37","2","159","5"
"District 5 - Absentee","399","201","28","2500","13"
"District 5 - Early Voting","9","1","0","52","0"
"District 5  - Question","65","30","1","268","3"
"District 6 - Absentee","276","159","21","1930","3"
"District 6 - Early Voting","465","206","14","3381","3"
"District 6  - Question","33","22","1","284","0"
"District 7 - Absentee","148","93","8","1454","4"
"District 7 - Early Voting","288","184","20","3144","9"
"District 7  - Question","43","28","2","223","1"
"District 8 - Absentee","232","113","16","1906","3"
"District 8 - Early Voting","258","133","11","2769","7"
"District 8  - Question","25","13","1","157","1"
"District 9 - Absentee","419","178","31","2668","4"
"District 9 - Early Voting","235","94","8","1822","3"
"District 9  - Question","42","24","1","186","0"
"HD99 Fed Overseas Absentee","74","36","0","291","0"
"House District 30 - Judicial District 3","355","229","28","3751","17"
"House District 30 - Judicial District 4","73","38","1","430","2"
"House District 36 - Judicial District 3","95","40","7","578","1"
"House District 36 - Judicial District 4","384","168","18","2179","16"
"House District 37 - Judicial District 3","180","96","6","948","11"
"House District 37 - Judicial District 4","31","23","1","142","2"
"House District 39 - Judicial District 2","98","115","7","547","9"
"House District 39 - Judicial District 4","21","31","0","76","4"
"Total","44443","23498","1888","269492","1457"
