"1","Terry/Broden","Trump/Vance","Blank","Exhausted","Overvote"
"District 12 - Early Voting","130","789","2","678","1"
"District 12  - Question","27","141","3","66","3"
"District 13 - Absentee","147","582","9","920","2"
"District 13 - Early Voting","120","731","7","529","5"
"District 13  - Question","30","213","2","96","5"
"District 14 - Absentee","183","519","10","1140","9"
"District 14 - Early Voting","121","640","6","862","6"
"District 14  - Question","63","236","3","124","8"
"District 15 - Absentee","151","863","17","1112","2"
"District 15 - Early Voting","126","918","5","692","2"
"District 15  - Question","23","177","3","76","4"
"District 16 - Absentee","184","714","12","1343","5"
"District 16 - Early Voting","153","744","10","919","11"
"District 16  - Question","29","181","1","87","4"
"District 17 - Absentee","170","629","12","1450","8"
"District 17 - Early Voting","197","665","4","1223","16"
"District 17  - Question","49","180","4","154","12"
"District 18 - Absentee","119","822","5","620","5"
"District 18 - Early Voting","40","244","0","223","1"
"District 18  - Question","33","623","3","172","4"
"District 19 - Absentee","111","340","3","679","11"
"District 19 - Early Voting","87","298","2","439","4"
"District 19  - Question","31","206","3","153","8"
"District 2 - Absentee","317","2114","25","2197","20"
"District 2 - Early Voting","5","38","0","32","1"
"District 2  - Question","28","160","2","75","7"
"District 20 - Absentee","151","639","6","1006","4"
"District 20 - Early Voting","123","593","3","575","6"
"District 20  - Question","39","202","2","124","6"
"District 21 - Absentee","191","842","7","1429","6"
"District 21 - Early Voting","128","725","4","677","7"
"District 21  - Question","39","217","4","133","9"
"District 22 - Absentee","135","502","7","574","7"
"District 22 - Early Voting","90","463","3","363","4"
"District 22  - Question","36","197","3","74","4"
"District 23 - Absentee","189","1361","15","1171","2"
"District 23 - Early Voting","180","2262","12","1061","2"
"District 23  - Question","31","216","0","76","1"
"District 24 - Absentee","138","1121","14","776","1"
"District 24 - Early Voting","160","2237","12","846","5"
"District 24  - Question","20","235","4","76","0"
"District 25 - Absentee","95","898","13","584","7"
"District 25 - Early Voting","195","2268","9","952","2"
"District 25  - Question","24","341","2","68","2"
"District 26 - Absentee","62","911","5","405","4"
"District 26 - Early Voting","106","2153","7","428","4"
"District 26  - Question","25","337","2","61","1"
"District 27 - Absentee","69","886","6","348","2"
"District 27 - Early Voting","108","2154","5","467","6"
"District 27  - Question","29","420","2","44","2"
"District 28 - Absentee","73","895","4","418","3"
"District 28 - Early Voting","126","2311","12","595","1"
"District 28  - Question","21","355","2","58","1"
"District 29 - Absentee","114","1223","14","670","6"
"District 29 - Early Voting","105","2148","10","543","6"
"District 29  - Question","18","298","5","64","1"
"District 3 - Absentee","215","890","8","1570","2"
