"1","Stein/Ware","Trump/Vance","Blank","Exhausted","Overvote"
"37-746 Sleetmute","10","8","0","5","1"
"37-748 South Naknek","4","5","2","6","1"
"37-750 St. George Island","0","3","1","3","0"
"37-752 St. Paul Island","18","27","2","60","0"
"37-754 Togiak","24","89","3","21","12"
"37-756 Tyonek","3","9","0","25","0"
"37-758 Upper Kalskag","10","22","0","21","4"
"38-800 Akiachak","22","74","1","58","6"
"38-802 Akiak","5","39","3","43","0"
"38-806 Atmautluak","3","11","2","27","2"
"38-808 Bethel No. 1","96","270","1","207","7"
"38-810 Bethel No. 2","75","296","3","196","5"
"38-812 Chefornak","15","21","0","58","2"
"38-818 Eek","8","45","1","39","2"
"38-822 Kasigluk","16","18","0","30","1"
"38-824 Kipnuk","11","58","0","36","8"
"38-826 Kongiganak","23","45","3","19","4"
"38-828 Kwethluk","50","45","0","34","4"
"38-830 Kwigillingok","5","54","0","17","5"
"38-836 Mekoryuk","10","34","1","19","5"
"38-838 Napakiak","11","32","2","25","1"
"38-840 Napaskiak","25","25","0","17","1"
"38-842 Newtok","20","22","0","7","7"
"38-844 Nightmute","2","13","2","15","2"
"38-846 Nunapitchuk","13","49","0","36","0"
"38-848 Quinhagak","12","60","1","55","6"
"38-852 Toksook Bay","44","84","3","41","8"
"38-854 Tuluksak","2","1","0","0","0"
"38-856 Tuntutuliak","19","57","0","39","2"
"38-858 Tununak","28","24","0","24","5"
"39-900 Alakanuk","20","38","0","24","5"
"39-902 Brevig Mission","13","44","1","38","6"
"39-906 Diomede","1","5","0","4","0"
"39-908 Elim","15","69","0","19","0"
"39-910 Emmonak","19","55","3","66","5"
"39-912 Gambell","22","72","2","44","6"
"39-914 Golovin","11","23","0","15","0"
"39-916 Hooper Bay","21","72","2","64","8"
"39-918 Kotlik","8","46","0","55","0"
"39-920 Koyuk","11","59","1","25","4"
"39-921 Marshall","12","47","1","25","1"
"39-922 Mountain Village","32","63","1","34","2"
"39-924 Nome No. 1","44","145","2","109","3"
"39-926 Nome No. 2","115","279","0","183","3"
"39-928 Nunam Iqua","8","14","1","14","0"
"39-930 Pilot Station","35","28","0","26","5"
"39-931 Russian Mission","6","24","2","26","1"
"39-932 Savoonga","40","50","1","63","5"
"39-934 Scammon Bay","17","51","0","33","7"
"39-936 Shaktoolik","3","38","2","12","2"
"39-938 Shishmaref","32","48","2","89","4"
"39-940 St. Mary's","22","30","2","61","2"
"39-942 St. Michael","10","34","3","15","3"
"39-944 Stebbins","17","41","0","12","3"
"39-946 Teller","11","15","0","10","0"
"39-948 Unalakleet","33","105","1","78","4"
"39-950 Wales","3","4","0","1","0"
"39-952 White Mountain","18","26","0","25","0"
"40-002 Ambler","5","22","3","12","2"
"40-004 Anaktuvuk Pass","4","27","2","24","1"
"40-006 Atqasuk","1","26","1","8","1"
"40-008 Utqiagvik","39","136","0","73","1"
"40-010 Browerville","99","361","3","179","5"
"40-012 Buckland","18","43","0","20","3"
"40-014 Deering","14","14","0","8","1"
"40-016 Kaktovik","2","59","0","12","0"
"40-018 Kiana","0","28","1","31","0"
"40-020 Kivalina","10","30","1","19","2"
"40-022 Kobuk","2","16","0","19","1"
"40-024 Kotzebue","104","265","6","194","5"
"40-026 Noatak","12","71","2","16","4"
"40-028 Noorvik","11","59","2","24","0"
"40-030 Nuiqsut","6","16","2","16","4"
"40-032 Point Hope","1","68","1","50","0"
"40-034 Point Lay","7","18","0","4","1"
"40-036 Selawik","4","61","0","11","2"
"40-038 Shungnak","9","21","0","13","7"
"40-040 Wainwright","7","97","0","23","2"
"District 1 - Absentee","300","1666","15","1049","13"
"District 1 - Early Voting","4","8","0","8","0"
"District 1  - Question","50","321","2","124","1"
"District 10 - Absentee","260","762","22","924","4"
"District 10 - Early Voting","178","835","4","538","2"
"District 10  - Question","31","151","2","70","4"
"District 11 - Absentee","331","968","31","1224","5"
"District 11 - Early Voting","205","951","9","616","3"
"District 11  - Question","26","147","0","64","1"
"District 12 - Absentee","293","714","9","963","4"
"District 12 - Early Voting","217","784","2","595","2"
"District 12  - Question","33","138","3","62","4"
"District 13 - Absentee","268","585","9","796","2"
"District 13 - Early Voting","180","727","7","473","5"
"District 13  - Question","42","211","2","86","5"
"District 14 - Absentee","338","515","10","989","9"
"District 14 - Early Voting","254","635","6","733","7"
"District 14  - Question","73","235","3","115","8"
"District 15 - Absentee","280","854","17","993","1"
"District 15 - Early Voting","203","914","5","619","2"
"District 15  - Question","28","175","3","73","4"
"District 16 - Absentee","358","707","12","1177","4"
"District 16 - Early Voting","274","744","10","800","9"
"District 16  - Question","46","177","1","74","4"
"District 17 - Absentee","379","620","12","1250","8"
"District 17 - Early Voting","360","659","4","1066","16"
"District 17  - Question","75","178","4","130","12"
"District 18 - Absentee","175","823","5","565","3"
"District 18 - Early Voting","65","245","0","197","1"
"District 18  - Question","45","621","3","162","4"
"District 19 - Absentee","207","334","3","589","11"
"District 19 - Early Voting","162","295","2","366","5"
"District 19  - Question","42","209","3","140","7"
"District 2 - Absentee","586","2106","25","1937","19"
"District 2 - Early Voting","14","33","0","28","1"
"District 2  - Question","47","158","2","58","7"
"District 20 - Absentee","302","628","6","866","4"
"District 20 - Early Voting","216","587","3","488","6"
"District 20  - Question","60","201","2","104","6"
"District 21 - Absentee","382","838","7","1242","6"
"District 21 - Early Voting","202","722","4","605","8"
"District 21  - Question","58","218","4","114","8"
"District 22 - Absentee","194","495","7","521","8"
"District 22 - Early Voting","122","470","3","323","5"
"District 22  - Question","34","199","3","74","4"
"District 23 - Absentee","307","1359","15","1055","2"
"District 23 - Early Voting","285","2264","12","953","3"
"District 23  - Question","35","216","0","72","1"
"District 24 - Absentee","217","1116","14","701","2"
"District 24 - Early Voting","235","2238","12","770","5"
"District 24  - Question","30","234","4","67","0"
"District 25 - Absentee","169","895","13","513","7"
"District 25 - Early Voting","330","2263","9","822","2"
"District 25  - Question","31","341","2","61","2"
"District 26 - Absentee","102","910","5","365","5"
"District 26 - Early Voting","159","2149","7","379","4"
"District 26  - Question","32","337","2","54","1"
"District 27 - Absentee","123","884","6","296","2"
"District 27 - Early Voting","156","2152","5","420","7"
"District 27  - Question","33","422","2","38","2"
"District 28 - Absentee","125","892","4","371","1"
