"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","",""
"3","","","Howe","Overvote","Peltola","","Hafner","Overvote","Peltola","","","Hafner","Howe","Overvote","","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Howe","Overvote","","","Hafner","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Hafner","Overvote","","","Hafner","Howe","Overvote","","Begich","Howe","Overvote","","Begich","Hafner","Overvote","","",""
"40-024 Kotzebue","82","0","8","0","4","10","13","0","9","0","9","15","9","0","3","0","0","0","1","1","1","0","0","0","0","0","0","0","12","2","4","0","3","0","5","0","5","0","1","1","3","0","192","9","31","14","0","11","12","45","0","3","6","34","0","2","13","1"
"40-026 Noatak","25","0","2","0","1","0","5","0","1","0","0","2","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","10","0","2","0","0","1","2","0","0","0","0","1","0","0","18","2","6","6","0","1","6","4","0","0","0","3","0","0","1","1"
"40-028 Noorvik","27","0","2","0","0","1","3","0","0","0","2","0","2","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","5","0","2","0","2","0","1","0","1","0","0","1","0","0","27","0","4","3","0","0","2","1","0","0","1","4","0","0","1","0"
"40-030 Nuiqsut","5","0","2","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","1","0","0","0","0","0","2","0","16","1","0","0","0","0","0","2","0","0","2","1","0","0","1","1"
"40-032 Point Hope","42","0","0","0","0","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","1","0","0","0","0","0","0","0","10","0","1","0","0","0","0","0","0","0","0","0","0","0","56","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0"
"40-034 Point Lay","6","0","1","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","4","0","0","0","4","0","0","0","2","0","0","1","0"
"40-036 Selawik","21","1","0","0","0","0","4","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","19","1","10","4","0","0","1","2","0","2","0","2","0","1","3","1"
"40-038 Shungnak","10","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","7","2","0","0","2","1","0","0","0","4","0","1","0","0"
"40-040 Wainwright","39","0","2","0","0","1","5","0","2","0","2","3","4","0","3","0","0","0","0","1","1","0","0","0","0","0","0","0","8","0","0","0","0","0","1","0","0","0","0","1","0","0","35","1","5","3","0","1","2","2","0","0","1","3","0","0","0","3"
"District 1 - Absentee","1225","10","16","0","2","82","41","1","24","0","35","4","10","0","18","1","1","0","0","1","2","0","1","0","13","0","6","0","44","18","9","0","3","2","1","0","4","0","4","4","4","0","851","49","12","8","0","150","25","157","0","33","11","62","0","0","64","4"
"District 1 - Early Voting","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","5","0","0","0","0","0","1","3","0","1","0","1","0","0","0","0"
"District 1  - Question","154","1","2","0","1","15","13","0","4","0","5","1","4","0","4","0","1","0","0","0","0","0","0","0","2","0","1","0","20","3","0","0","2","0","5","0","3","0","0","2","3","0","92","4","4","5","0","13","0","23","0","2","1","9","0","0","22","0"
"District 10 - Absentee","530","8","7","0","1","43","35","0","7","0","20","4","7","0","9","1","0","0","0","2","0","1","3","0","5","1","6","0","16","5","1","0","1","0","1","0","4","0","2","1","3","0","785","32","7","14","0","154","21","135","0","16","13","40","0","0","19","2"
"District 10 - Early Voting","628","2","9","0","2","56","36","0","8","0","7","0","9","0","3","0","0","0","0","1","0","0","4","0","2","2","1","0","14","2","3","0","0","0","1","0","2","0","0","0","2","0","420","16","7","9","0","98","14","110","0","23","9","35","0","0","20","2"
"District 10  - Question","77","0","2","0","1","7","8","0","4","0","3","0","3","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","4","1","1","0","1","0","0","0","1","0","0","0","0","0","60","2","1","1","0","9","2","11","0","2","1","4","0","0","7","4"
"District 11 - Absentee","727","3","3","0","3","53","48","0","17","1","19","3","10","0","7","0","1","0","0","0","1","0","1","0","4","1","3","0","24","5","4","0","2","0","0","0","3","0","2","1","5","0","988","50","12","23","0","204","20","161","0","37","23","48","1","0","25","0"
"District 11 - Early Voting","723","7","9","0","0","56","35","0","14","0","25","2","8","0","2","0","1","0","1","0","0","0","1","0","2","1","3","0","12","6","4","0","2","1","1","0","2","0","2","1","1","0","504","23","8","10","0","101","13","98","0","19","15","60","0","0","9","2"
"District 11  - Question","66","3","2","0","1","14","8","0","4","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0","1","0","1","0","1","0","2","0","47","3","0","5","0","10","1","12","0","0","1","5","0","0","1","1"
"District 12 - Absentee","455","3","8","0","1","40","40","0","10","0","19","9","9","0","8","0","0","0","2","0","0","0","1","0","4","2","1","0","12","7","1","0","2","0","1","0","2","0","2","3","0","0","787","29","14","20","0","191","24","147","0","21","18","28","0","1","38","1"
"District 12 - Early Voting","584","3","8","0","0","49","28","0","6","0","13","9","6","0","1","1","0","0","0","0","0","0","0","0","3","2","1","0","7","5","1","0","2","1","2","0","0","0","1","1","2","0","483","26","18","7","0","116","18","117","1","17","9","45","0","1","4","2"
"District 12  - Question","67","0","2","0","0","4","14","0","2","1","2","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","2","1","0","1","0","1","0","1","0","0","1","0","0","43","4","7","5","0","7","4","15","0","3","3","4","0","0","6","1"
"District 13 - Absentee","393","1","8","0","1","24","33","0","4","0","11","2","8","0","14","1","0","0","0","0","1","0","1","0","12","1","6","0","15","2","4","0","1","0","2","0","3","0","0","0","1","0","637","27","6","17","0","143","17","140","0","22","15","36","0","0","17","2"
"District 13 - Early Voting","514","4","19","0","2","50","39","0","11","0","8","12","10","0","6","0","2","0","1","0","0","0","1","0","7","0","2","0","7","5","2","0","1","1","1","0","1","0","2","0","1","0","337","15","10","16","0","104","8","115","0","10","4","49","0","0","14","1"
"District 13  - Question","97","0","5","0","0","11","14","0","2","0","10","2","2","0","2","1","1","0","1","0","2","0","0","0","0","0","2","0","5","3","2","0","3","1","2","0","2","0","0","0","2","0","61","7","2","0","0","13","4","15","0","4","3","10","0","0","9","4"
"District 14 - Absentee","319","1","6","0","0","17","24","0","9","0","20","1","9","0","8","0","0","0","0","1","1","0","4","0","14","5","5","0","20","2","1","0","5","0","1","0","2","0","3","0","1","0","830","23","12","22","0","148","20","178","0","32","20","40","0","0","27","5"
"District 14 - Early Voting","435","2","6","1","0","42","28","0","7","0","18","3","8","0","4","0","0","0","0","0","0","0","0","0","9","0","2","0","9","3","1","0","3","2","3","0","0","0","2","0","2","0","585","23","8","10","0","157","10","134","0","27","8","44","0","0","34","5"
"District 14  - Question","98","0","5","0","0","12","13","1","7","0","5","2","7","0","5","1","0","0","2","0","0","0","4","1","2","1","2","0","9","2","2","0","1","0","2","0","2","1","0","1","1","0","91","6","6","4","0","13","3","26","0","4","4","22","0","1","20","3"
"District 15 - Absentee","584","9","10","0","1","39","20","0","8","0","40","5","12","0","7","0","0","0","0","0","0","0","2","0","2","1","3","0","26","6","3","0","4","0","1","0","2","0","6","1","0","0","809","49","15","21","0","171","30","136","1","18","16","43","0","0","22","1"
"District 15 - Early Voting","717","8","9","0","2","50","32","0","11","0","12","1","10","0","2","0","0","0","0","0","1","0","2","0","1","0","2","0","8","7","1","1","0","0","1","0","0","0","1","1","2","0","475","19","9","13","0","139","15","113","0","16","13","35","0","1","11","2"
"District 15  - Question","75","0","1","0","0","6","8","0","6","0","3","1","8","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","0","2","0","0","0","1","0","1","4","6","0","48","7","5","6","0","11","3","9","0","3","3","9","0","0","5","0"
"District 16 - Absentee","486","6","6","0","4","52","19","0","10","0","16","8","3","0","5","0","0","0","0","0","0","0","0","0","5","1","2","0","18","5","2","0","1","1","0","0","1","0","1","2","1","0","969","42","23","15","0","214","29","183","0","27","13","47","0","1","23","2"
"District 16 - Early Voting","524","8","10","0","3","64","36","0","7","0","20","5","3","0","3","0","0","0","0","1","0","0","1","0","1","1","1","0","10","2","1","0","1","0","1","0","4","0","2","1","1","0","636","35","19","8","0","164","17","152","0","24","12","45","0","1","11","2"
"District 16  - Question","74","0","4","0","0","12","8","0","3","0","2","7","2","0","4","0","0","0","0","0","0","0","0","0","0","2","0","0","4","2","0","0","0","0","1","0","2","1","0","1","1","0","60","4","7","4","0","14","1","18","0","2","3","8","0","0","14","1"
"District 17 - Absentee","406","6","11","0","1","33","25","1","13","2","17","1","2","0","12","1","0","0","0","1","1","0","2","0","10","0","6","0","5","6","2","0","2","0","1","0","3","0","0","3","3","0","1016","45","7","15","0","235","23","160","0","32","13","60","1","0","49","2"
"District 17 - Early Voting","445","3","24","0","1","43","39","0","9","2","9","3","4","0","9","0","2","0","0","1","2","0","2","0","9","1","4","0","6","4","1","0","3","1","1","0","1","0","2","3","4","0","870","29","14","8","0","193","34","166","2","19","13","73","0","0","41","5"
"District 17  - Question","74","1","8","0","1","9","7","0","2","1","4","2","4","0","4","0","0","0","0","0","0","0","0","0","2","0","3","0","9","4","4","0","1","0","2","0","4","0","1","0","0","0","91","6","4","3","0","16","4","31","1","4","1","17","0","0","18","5"
"District 18 - Absentee","524","1","3","0","2","60","44","0","19","0","13","6","7","0","20","0","0","0","1","0","0","0","4","0","18","4","7","0","18","9","3","0","4","1","0","0","3","0","2","3","0","0","361","25","4","9","0","98","19","88","0","15","8","22","0","0","54","1"
"District 18 - Early Voting","161","2","4","0","0","15","11","0","5","0","3","0","1","1","5","0","0","0","0","0","0","0","0","0","1","0","3","0","9","7","4","0","3","0","1","0","2","0","0","0","1","0","153","8","2","3","0","37","2","43","0","6","3","4","0","0","7","1"
"District 18  - Question","85","0","4","0","1","8","11","0","5","0","4","2","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","7","3","2","0","2","0","1","0","1","0","0","0","1","0","36","0","2","0","0","5","2","13","0","1","0","4","0","0","38","1"
"District 19 - Absentee","179","0","0","0","1","26","16","0","4","0","10","3","3","0","5","0","0","0","0","1","1","0","2","0","3","0","2","0","15","1","2","0","3","0","2","0","2","1","2","0","0","0","469","19","15","13","0","125","17","86","0","17","15","34","0","1","24","6"
"District 19 - Early Voting","203","3","6","0","0","18","15","0","7","0","3","1","3","0","3","0","1","0","0","1","0","0","2","0","0","0","1","0","12","3","2","0","0","1","2","0","0","0","4","0","4","0","293","8","4","4","0","77","9","67","0","19","12","30","0","0","10","2"
"District 19  - Question","77","0","1","1","0","11","13","0","1","0","1","4","2","0","4","0","0","0","0","1","0","0","0","0","1","1","2","0","14","1","3","0","1","0","3","0","0","0","1","4","2","0","107","11","3","4","0","12","5","13","0","6","3","6","0","0","15","4"
"District 2 - Absentee","1397","13","24","0","0","129","64","0","30","0","37","1","24","0","24","0","2","0","0","4","2","0","3","1","10","2","10","0","63","23","13","0","9","5","1","0","6","0","11","6","5","0","1639","48","15","29","0","308","28","323","1","64","35","102","0","0","126","15"
"District 2 - Early Voting","14","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","4","0","1","0","0","0","0","1","0","0","31","0","1","1","0","4","0","6","0","1","1","0","0","0","4","0"
"District 2  - Question","49","0","1","0","1","7","5","0","2","1","1","0","3","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","7","2","3","0","1","0","0","0","4","0","0","1","1","0","36","2","0","3","0","10","0","9","0","0","0","9","0","0","13","1"
"District 20 - Absentee","422","2","5","0","1","27","29","0","8","0","7","4","6","0","9","1","1","0","0","3","2","0","1","0","3","1","1","0","11","5","1","0","2","0","2","0","2","0","2","2","2","0","713","33","26","21","0","146","26","146","0","29","21","29","0","0","25","4"
"District 20 - Early Voting","397","7","6","0","3","40","32","0","7","0","5","9","6","0","1","0","0","0","0","1","2","0","1","0","2","0","1","0","12","4","2","0","0","1","0","0","1","0","2","0","0","0","400","11","17","12","0","113","10","120","0","14","10","37","0","1","12","1"
"District 20  - Question","71","2","5","0","3","7","13","0","8","0","3","4","2","0","3","0","0","0","0","0","0","0","0","0","3","0","0","0","4","3","1","0","1","1","4","0","5","0","2","2","5","0","74","1","6","9","0","14","4","24","0","4","2","6","0","0","17","3"
"District 21 - Absentee","556","3","11","0","5","50","47","1","13","0","12","6","12","0","18","0","1","0","0","0","3","0","1","0","17","2","7","0","29","7","2","0","1","0","0","0","3","0","1","0","1","0","1006","28","11","13","0","247","28","169","0","30","17","56","0","1","38","6"
"District 21 - Early Voting","527","3","11","0","3","39","39","0","9","0","12","0","6","0","8","0","0","0","0","0","2","0","1","0","3","1","8","0","11","2","3","0","1","0","0","0","0","0","1","1","0","0","475","24","7","2","0","103","23","127","0","23","7","36","0","0","18","5"
"District 21  - Question","84","1","5","1","2","9","10","0","10","0","5","3","6","0","2","0","0","0","1","0","1","0","0","1","2","0","1","0","9","5","6","0","1","1","2","0","0","1","0","1","2","0","89","3","3","4","0","22","6","22","0","1","2","16","0","0","9","5"
"District 22 - Absentee","316","0","9","0","2","29","35","0","9","1","5","3","10","0","7","0","1","0","0","1","0","0","1","1","9","1","3","0","13","9","2","0","1","1","2","0","3","2","1","0","4","0","405","16","4","15","0","89","12","121","0","8","14","18","0","0","20","5"
"District 22 - Early Voting","325","2","7","0","0","19","25","1","3","1","8","2","8","0","3","0","1","0","0","0","0","0","3","0","4","0","3","0","6","10","0","0","3","1","0","0","2","0","3","2","3","0","253","12","2","8","0","67","9","75","1","4","8","21","0","0","16","2"
"District 22  - Question","67","0","4","0","0","8","8","0","4","1","5","0","5","0","2","0","0","0","0","0","3","0","0","0","1","0","3","0","8","2","4","0","4","0","1","0","3","0","0","3","2","0","53","5","2","9","0","8","2","16","0","3","3","8","0","0","12","1"
"District 23 - Absentee","914","4","11","0","1","120","57","1","27","0","20","6","11","0","5","0","0","0","0","2","0","0","0","0","8","0","1","0","35","11","9","0","14","0","1","0","1","0","5","1","6","0","814","53","18","25","0","191","25","139","0","30","23","38","0","0","67","1"
"District 23 - Early Voting","1692","12","16","0","0","159","77","1","33","0","26","8","20","0","11","0","0","0","0","2","0","0","1","0","3","1","1","0","41","26","5","0","7","0","1","0","3","0","6","6","4","0","774","50","11","26","0","179","13","153","0","43","26","51","0","1","28","0"
"District 23  - Question","87","0","1","0","0","15","9","0","10","0","3","1","3","0","4","0","0","0","1","0","1","0","0","0","1","0","0","0","6","4","1","0","4","0","1","0","1","0","1","0","2","0","39","5","1","5","0","7","0","11","0","0","3","6","0","0","5","1"
"District 24 - Absentee","781","2","16","0","1","94","57","0","26","1","20","5","8","0","7","0","0","0","1","0","1","0","0","0","3","2","2","0","26","10","2","0","2","0","4","0","0","0","2","1","1","0","533","28","16","10","0","125","24","102","0","25","9","29","0","0","46","1"
"District 24 - Early Voting","1713","13","25","0","6","156","96","1","19","0","32","8","8","0","5","0","0","0","0","1","0","0","1","0","0","1","0","0","29","16","6","0","5","0","6","0","1","0","2","0","1","0","619","41","15","8","0","126","21","155","0","35","18","39","0","1","30","1"
"District 24  - Question","107","0","2","0","0","19","12","0","2","0","5","6","3","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","6","4","3","0","2","0","2","0","1","0","0","1","0","0","45","4","5","6","0","5","2","14","0","1","2","6","0","0","10","2"
"District 25 - Absentee","639","1","11","0","1","58","36","1","8","0","10","2","5","0","6","0","0","0","0","1","0","0","1","0","7","0","1","0","30","9","5","0","4","1","2","0","1","0","1","1","4","0","406","27","5","8","0","98","14","78","0","13","7","27","0","1","45","4"
"District 25 - Early Voting","1735","7","30","1","5","144","90","1","23","0","21","4","12","0","4","1","1","0","0","2","1","0","1","0","4","3","4","0","30","17","5","0","3","2","1","0","4","0","1","0","5","0","725","25","11","11","0","144","17","172","0","23","23","70","0","0","42","1"
"District 25  - Question","149","0","3","0","1","15","14","0","12","0","7","4","1","0","2","0","0","0","0","0","0","0","1","0","1","0","2","0","17","4","2","0","1","0","2","0","1","0","2","1","0","0","36","5","1","5","0","6","1","11","0","3","4","11","0","0","14","2"
"District 26 - Absentee","656","1","10","0","0","61","41","0","11","0","8","2","12","0","2","0","0","0","0","0","0","0","1","0","3","0","1","0","27","12","3","0","3","0","2","0","1","0","0","1","3","0","282","13","2","7","0","71","7","62","0","8","4","16","0","0","31","0"
"District 26 - Early Voting","1654","6","13","0","1","133","97","0","24","0","14","5","15","0","7","1","1","0","0","0","1","0","5","0","3","1","6","0","46","24","6","0","7","0","1","0","6","0","4","3","3","0","311","17","4","14","0","68","10","92","0","12","7","24","0","0","51","1"
"District 26  - Question","167","0","4","0","1","22","16","0","3","0","5","2","5","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","5","10","2","0","1","0","2","0","4","0","4","2","4","0","41","2","0","2","0","9","0","13","0","2","2","7","0","0","16","0"
"District 27 - Absentee","613","3","8","0","1","56","49","0","15","0","12","1","3","0","3","0","1","0","0","0","2","0","0","0","2","0","1","0","24","9","4","0","3","3","1","0","1","0","0","4","1","0","251","7","3","5","0","64","11","57","0","7","5","21","0","0","32","1"
"District 27 - Early Voting","1583","9","17","0","2","177","94","0","31","1","18","1","13","0","8","0","0","0","0","2","0","0","1","0","1","0","1","0","43","22","10","0","7","1","4","0","2","0","3","4","4","0","357","25","7","17","0","66","8","84","0","16","7","52","0","0","38","4"
"District 27  - Question","194","1","1","0","1","20","27","0","10","0","3","2","2","0","1","0","0","0","3","0","1","0","1","0","0","0","0","0","19","11","7","0","6","0","5","0","0","0","4","2","0","0","39","3","1","2","0","7","1","11","0","5","4","4","0","0","17","2"
"District 28 - Absentee","608","2","12","0","1","72","38","1","16","0","16","2","6","0","1","0","0","0","0","0","2","0","3","0","1","0","0","0","27","16","2","0","5","1","2","0","0","0","0","2","2","0","292","8","17","6","0","60","9","76","0","16","5","17","0","2","24","1"
"District 28 - Early Voting","1726","10","25","0","3","175","93","0","30","0","25","18","9","1","6","0","0","0","1","0","1","0","0","0","1","1","1","0","41","20","7","0","6","4","1","0","4","0","5","1","2","0","457","31","3","7","0","90","17","116","0","20","8","44","0","1","33","1"
"District 28  - Question","179","0","7","0","1","23","21","1","5","0","5","2","2","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","13","4","3","0","1","0","1","0","1","0","1","0","3","0","40","3","0","2","0","6","3","19","0","4","0","8","0","0","18","0"
"District 29 - Absentee","859","2","7","0","3","102","53","0","11","0","15","2","5","0","6","0","0","0","0","0","2","0","3","0","10","0","4","0","38","16","4","0","3","1","3","0","0","0","4","1","0","0","467","24","6","12","0","99","22","92","0","19","13","43","0","0","34","1"
"District 29 - Early Voting","1654","12","44","0","0","130","86","0","31","0","26","3","12","0","7","1","0","0","0","1","0","0","0","0","6","0","2","0","38","16","5","0","6","1","3","0","2","0","3","2","2","0","396","17","6","10","0","81","10","90","0","22","6","45","0","0","36","0"
"District 29  - Question","130","0","2","0","2","28","13","1","7","0","3","0","3","0","1","0","2","0","1","0","1","0","1","0","0","0","2","0","11","8","4","0","0","0","1","0","0","0","1","1","0","0","44","3","3","1","0","9","0","13","0","7","2","7","0","0","17","2"
"District 3 - Absentee","594","5","4","0","0","70","34","0","23","0","22","8","10","0","2","0","0","0","0","0","0","0","2","0","11","0","4","0","36","13","3","0","3","2","0","0","3","0","5","3","1","0","1084","41","5","15","0","264","19","197","0","45","11","62","0","1","40","3"
"District 3 - Early Voting","1001","6","5","0","3","105","49","1","19","1","39","5","8","0","6","1","2","0","2","1","2","0","1","0","4","2","1","0","37","12","4","0","4","2","2","0","2","0","3","5","4","0","1460","56","12","17","0","270","21","181","0","61","19","83","0","0","38","3"
"District 3  - Question","50","0","2","0","0","9","2","0","3","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","10","1","4","0","1","1","1","0","2","0","2","0","3","0","73","5","0","3","0","13","0","21","0","3","5","7","0","1","11","4"
"District 31 - Absentee","322","0","2","0","3","41","17","0","12","0","5","6","6","0","2","1","0","0","0","1","0","0","0","0","1","0","4","0","19","10","5","0","3","1","1","0","4","0","4","7","1","0","345","13","5","17","0","57","9","80","0","10","16","25","0","0","21","5"
"District 31 - Early Voting","591","5","21","0","3","57","56","0","18","0","14","4","6","0","7","0","0","0","1","2","0","0","2","0","7","1","6","0","36","14","6","0","9","2","7","0","2","0","5","3","5","0","584","29","7","24","0","123","14","164","0","27","12","51","0","2","28","12"
"District 31  - Question","77","0","1","0","0","8","6","0","5","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","11","7","3","0","4","0","0","0","1","0","1","1","1","0","56","7","1","4","0","16","2","15","0","1","4","13","0","0","9","3"
"District 32 - Absentee","373","3","2","0","2","40","40","0","12","0","9","9","2","0","6","0","0","0","0","1","0","0","0","0","0","1","5","0","12","4","4","0","6","0","1","0","3","0","1","1","3","0","225","6","9","3","0","59","10","55","0","3","8","10","0","0","30","1"
"District 32 - Early Voting","439","3","11","0","2","59","40","0","10","0","9","9","5","1","4","1","2","0","1","1","1","0","0","0","3","2","2","0","18","4","1","0","6","1","2","0","1","1","1","1","1","0","208","18","10","5","0","58","9","86","0","9","6","21","0","0","19","3"
"District 32  - Question","79","1","3","0","3","15","11","0","4","0","5","4","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","11","4","2","0","0","0","1","0","1","0","1","1","1","0","44","8","5","5","0","3","1","9","0","1","1","3","0","0","10","0"
"District 33 - Absentee","539","3","6","0","0","61","46","0","21","0","7","4","12","0","15","1","0","0","0","1","1","0","0","0","7","0","1","0","22","3","4","0","2","0","4","0","2","0","0","1","2","0","233","15","6","5","0","61","11","63","0","11","11","18","1","1","38","2"
"District 33 - Early Voting","879","6","18","1","0","93","63","1","28","1","15","9","8","0","3","0","0","0","0","1","1","0","1","1","3","0","1","0","26","16","1","0","2","1","3","0","1","0","0","0","6","0","251","11","9","8","0","63","11","65","0","19","8","37","0","0","19","3"
"District 33  - Question","94","1","2","0","0","10","10","0","4","0","2","1","4","0","1","0","2","0","0","0","1","0","0","0","0","0","1","0","7","4","1","0","1","2","0","1","0","0","1","0","3","0","23","2","0","1","0","3","2","8","0","1","1","8","0","0","10","0"
"District 34 - Absentee","528","0","3","0","1","50","47","0","16","0","15","5","12","0","7","0","0","0","0","1","0","0","1","0","3","0","3","0","22","9","0","0","4","1","1","0","1","0","3","0","2","0","451","24","3","13","0","116","14","95","0","17","10","12","0","0","51","2"
"District 34 - Early Voting","949","7","8","0","2","130","77","0","30","0","24","5","11","0","7","1","0","0","0","0","0","0","3","0","2","0","3","0","38","18","5","0","9","2","1","0","3","1","4","5","2","0","626","34","1","13","0","176","19","186","0","34","16","54","0","1","36","2"
"District 34  - Question","105","0","2","0","0","16","20","0","9","0","4","2","2","0","2","0","1","0","0","1","0","0","1","0","1","0","1","0","11","10","4","1","3","1","4","0","2","0","2","2","3","0","43","11","2","2","0","9","0","7","0","3","6","3","0","0","22","2"
"District 35 - Absentee","367","2","2","0","1","49","30","0","11","0","14","2","2","0","4","0","0","0","0","0","1","0","0","0","3","1","3","0","10","10","3","0","6","0","1","0","1","0","1","2","1","0","491","16","8","10","0","142","17","99","0","21","9","16","0","0","20","1"
"District 35 - Early Voting","755","5","7","0","2","109","59","0","17","2","24","5","9","0","5","1","0","0","1","1","0","0","3","0","10","0","7","0","21","9","4","0","5","0","0","0","2","1","3","5","5","0","845","28","5","29","0","296","26","200","0","36","30","68","0","0","26","4"
"District 35  - Question","79","0","0","0","1","11","8","0","6","0","5","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","10","6","2","0","5","1","0","0","1","0","3","2","3","0","64","3","3","4","0","15","1","18","0","4","4","7","0","0","12","1"
"District 38 - Absentee","86","1","2","0","0","12","7","0","4","0","8","3","8","0","2","0","0","0","1","0","1","0","0","0","0","1","2","0","3","1","6","0","0","0","3","0","1","0","1","1","1","0","207","8","7","11","0","33","8","49","0","6","9","24","0","1","9","2"
"District 38 - Early Voting","3","0","0","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","0","1","0","2","0","5","0","0","0","4","0","0","0","0"
"District 38  - Question","59","0","5","0","2","7","11","0","5","0","3","3","8","0","1","0","0","0","1","0","1","0","1","0","1","0","0","0","5","0","1","0","1","0","0","0","1","0","0","1","3","0","54","5","6","11","0","3","0","14","1","1","2","5","0","0","7","3"
"District 4 - Absentee","245","3","1","0","0","19","9","0","7","0","13","7","4","0","3","0","1","0","2","0","0","0","1","0","3","1","1","0","12","8","3","0","3","0","0","0","0","1","1","0","1","0","812","23","19","14","0","189","23","120","0","23","5","33","0","1","22","1"
"District 4 - Early Voting","735","8","11","0","6","67","35","0","13","0","34","9","4","0","9","0","1","0","1","0","3","0","0","1","10","0","6","1","36","9","2","0","3","1","5","0","3","0","5","5","5","0","1736","56","30","14","0","405","48","332","0","62","23","74","0","2","38","8"
"District 4  - Question","81","0","4","0","1","11","8","0","1","0","3","6","4","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","6","3","0","0","2","0","3","0","2","0","1","4","0","0","92","14","6","6","0","22","5","35","1","13","4","11","0","0","12","2"
"District 40 - Absentee","114","0","4","0","1","13","9","0","4","0","4","6","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","9","2","2","0","2","0","0","0","0","0","1","2","1","0","145","4","9","3","0","32","3","30","0","7","3","18","0","0","10","0"
"District 40 - Early Voting","12","0","0","0","0","0","2","0","0","0","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","15","1","0","1","0","3","1","0","0","0","0","1","0","0","2","0"
"District 40  - Question","60","0","2","0","2","1","9","0","3","0","6","3","4","0","0","0","0","0","1","1","1","0","1","0","0","0","2","0","8","1","1","0","0","0","0","0","1","0","0","2","2","0","49","2","1","5","0","4","7","14","0","1","1","3","0","0","9","0"
"District 5 - Absentee","1023","7","25","0","3","125","57","1","26","2","32","8","19","0","15","0","0","0","0","1","1","0","3","0","10","2","11","0","40","15","8","0","4","0","1","0","2","0","4","8","7","0","949","47","12","15","0","194","27","167","0","40","18","78","3","0","66","8"
