"1","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"2","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","Begich","Howe","Overvote","","",""
"36-126 Nenana","127","39","0","3","7","6","0","3","81","18","27","0","2","0","1"
"36-130 Nikolai","4","2","0","0","1","0","0","0","14","1","2","0","3","0","0"
"36-134 Northway","22","7","0","5","1","0","0","1","19","10","4","0","1","1","0"
"36-138 Nulato","8","1","0","0","0","0","0","0","52","6","4","1","3","2","0"
"36-142 Ruby","8","0","0","1","0","0","0","0","18","2","1","0","0","0","0"
"36-146 Shageluk","0","1","0","0","0","0","0","0","6","9","6","0","1","0","0"
"36-162 Tanana","6","0","0","0","0","0","0","1","60","4","5","0","1","1","1"
"36-166 Tetlin","10","4","0","1","0","0","0","0","12","1","2","0","0","0","0"
"36-170 Tok","283","59","0","16","16","5","0","2","75","19","30","0","16","1","0"
"36-174 Venetie","5","0","0","0","0","0","0","0","33","2","3","0","1","1","0"
"37-700 Akutan","13","3","0","1","4","0","0","0","18","2","4","0","2","2","0"
"37-702 Aleknagik","22","5","0","1","2","3","0","0","15","6","10","0","2","0","3"
"37-704 Aleutians No. 1","7","0","0","0","1","0","0","0","8","0","2","0","0","1","0"
"37-706 Aleutians No. 2","195","20","0","31","18","2","0","2","196","16","27","0","14","11","2"
